pdf_page,pdf_sequence,polling_unit_no,district,source_subdistrict_pdf,moo,polling_place_pdf,registered_voters_66
6,460,6,ศรีบรรพต,ตะแพน,6,ศาลาประจ าหมู่บ้าน บ้านหน้าควน,460
6,461,7,ศรีบรรพต,ตะแพน,7,โรงอาหารโรงเรียนบ้านหัสคุณ,742
6,462,8,ศรีบรรพต,ตะแพน,8,ส านักสงฆ์บ้านท่าข้าม,389
7,463,9,ศรีบรรพต,ตะแพน,9,อาคารโรงเรียนบ้านสวนโหนด,429
7,464,1,ศรีนครินทร์,ล าสินธุ์,1,ศาลาประจ าหมู่บ้านบ้านคลองหมวย,687
7,465,2,ศรีนครินทร์,ล าสินธุ์,2,ศาลาประจ าหมู่บ้านบ้านสวนหมาก,488
7,466,3,ศรีนครินทร์,ล าสินธุ์,3,ศาลาประจ าหมู่บ้านบ้านล าสินธุ์,635
7,467,4,ศรีนครินทร์,ล าสินธุ์,4,ศาลาประจ าหมู่บ้านบ้านห้วยท าผัง,261
7,468,5,ศรีนครินทร์,ล าสินธุ์,5,ศาลาประจ าหมู่บ้านบ้านโหล๊ะไฟ,483
7,469,6,ศรีนครินทร์,ล าสินธุ์,6,ศาลาประจ าหมู่บ้านบ้านโตน,690
7,470,7,ศรีนครินทร์,ล าสินธุ์,7,ศาลาประจ าหมู่บ้านบ้านขาม,716
7,471,8,ศรีนครินทร์,ล าสินธุ์,8,ศาลาประจ าหมู่บ้านบ้านล าสินธุ์เหนือ,728
7,472,9,ศรีนครินทร์,ล าสินธุ์,9,ศาลาประจ าหมู่บ้านบ้านโหล๊ะอม,312
7,473,1,ศรีนครินทร์,อ่างทอง,1,ศาลาประจ าหมู่บ้านบ้านประดู่,535
7,474,2,ศรีนครินทร์,อ่างทอง,2,ศาลาอเนกประสงค์บ้านสวนหลวง,490
7,475,3,ศรีนครินทร์,อ่างทอง,3,ศาลาประจ าหมู่บ้านบ้านอ่างทอง,618
7,476,4,ศรีนครินทร์,อ่างทอง,4,ศาลาอเนกประสงค์บ้านโหล๊ะหนุน,676
